,text_regime,label,rank,term,mean_tfidf
0,text_subject_body_clean,comp.graphics,1,graphics,0.0354173269949396
1,text_subject_body_clean,comp.graphics,2,image,0.026401540435954864
2,text_subject_body_clean,comp.graphics,3,thanks,0.01954212330506498
3,text_subject_body_clean,comp.graphics,4,files,0.01879966089929834
4,text_subject_body_clean,comp.graphics,5,images,0.01873980379058061
5,text_subject_body_clean,comp.graphics,6,file,0.017971035667742292
6,text_subject_body_clean,comp.graphics,7,format,0.017379258841405145
7,text_subject_body_clean,comp.graphics,8,gif,0.01734663640443437
8,text_subject_body_clean,comp.graphics,9,program,0.01688624045437843
9,text_subject_body_clean,comp.graphics,10,looking,0.01652356189386
10,text_subject_body_clean,comp.graphics,11,help,0.015572046123304142
11,text_subject_body_clean,comp.graphics,12,bit,0.015336445798070262
12,text_subject_body_clean,comp.graphics,13,need,0.01487669670766254
13,text_subject_body_clean,comp.graphics,14,tiff,0.014633037516552873
14,text_subject_body_clean,comp.graphics,15,software,0.0137723581194117
15,text_subject_body_clean,comp.os.ms-windows.misc,1,windows,0.08381074889350298
16,text_subject_body_clean,comp.os.ms-windows.misc,2,dos,0.03295008046107668
17,text_subject_body_clean,comp.os.ms-windows.misc,3,file,0.029991796156792244
18,text_subject_body_clean,comp.os.ms-windows.misc,4,driver,0.02076935556448911
19,text_subject_body_clean,comp.os.ms-windows.misc,5,microsoft,0.020600650459602923
20,text_subject_body_clean,comp.os.ms-windows.misc,6,files,0.019926788145248522
21,text_subject_body_clean,comp.os.ms-windows.misc,7,program,0.01869369009920031
22,text_subject_body_clean,comp.os.ms-windows.misc,8,drivers,0.018399242640846997
23,text_subject_body_clean,comp.os.ms-windows.misc,9,os,0.01776331430754601
24,text_subject_body_clean,comp.os.ms-windows.misc,10,thanks,0.016604832539737404
25,text_subject_body_clean,comp.os.ms-windows.misc,11,nt,0.016589302927972307
26,text_subject_body_clean,comp.os.ms-windows.misc,12,writes,0.016092492274357717
27,text_subject_body_clean,comp.os.ms-windows.misc,13,mouse,0.016031309339875687
28,text_subject_body_clean,comp.os.ms-windows.misc,14,using,0.015981598952361578
29,text_subject_body_clean,comp.os.ms-windows.misc,15,card,0.01566214615202374
30,text_subject_body_clean,comp.sys.ibm.pc.hardware,1,drive,0.04261448948575285
31,text_subject_body_clean,comp.sys.ibm.pc.hardware,2,card,0.031241693389557977
32,text_subject_body_clean,comp.sys.ibm.pc.hardware,3,ide,0.030904481434285046
33,text_subject_body_clean,comp.sys.ibm.pc.hardware,4,scsi,0.03017606587186977
34,text_subject_body_clean,comp.sys.ibm.pc.hardware,5,controller,0.024064836810681663
35,text_subject_body_clean,comp.sys.ibm.pc.hardware,6,bus,0.021720801624045636
36,text_subject_body_clean,comp.sys.ibm.pc.hardware,7,thanks,0.01973011640427704
37,text_subject_body_clean,comp.sys.ibm.pc.hardware,8,help,0.018265203249955432
38,text_subject_body_clean,comp.sys.ibm.pc.hardware,9,pc,0.018149896198403296
39,text_subject_body_clean,comp.sys.ibm.pc.hardware,10,monitor,0.01781121924848609
40,text_subject_body_clean,comp.sys.ibm.pc.hardware,11,motherboard,0.01727933181627005
41,text_subject_body_clean,comp.sys.ibm.pc.hardware,12,bios,0.016908476457523636
42,text_subject_body_clean,comp.sys.ibm.pc.hardware,13,drives,0.01654142118255391
43,text_subject_body_clean,comp.sys.ibm.pc.hardware,14,gateway,0.016060847179186113
44,text_subject_body_clean,comp.sys.ibm.pc.hardware,15,disk,0.016019823357616623
45,text_subject_body_clean,comp.sys.mac.hardware,1,mac,0.04407839175597348
46,text_subject_body_clean,comp.sys.mac.hardware,2,apple,0.03787463416125734
47,text_subject_body_clean,comp.sys.mac.hardware,3,drive,0.02324058240350175
48,text_subject_body_clean,comp.sys.mac.hardware,4,monitor,0.022061526472307195
49,text_subject_body_clean,comp.sys.mac.hardware,5,centris,0.02160886850505077
50,text_subject_body_clean,comp.sys.mac.hardware,6,quadra,0.018624608116263267
51,text_subject_body_clean,comp.sys.mac.hardware,7,duo,0.017950812808387492
52,text_subject_body_clean,comp.sys.mac.hardware,8,lc,0.017334317068190462
53,text_subject_body_clean,comp.sys.mac.hardware,9,thanks,0.01719771680883599
54,text_subject_body_clean,comp.sys.mac.hardware,10,simms,0.016503351149959548
55,text_subject_body_clean,comp.sys.mac.hardware,11,scsi,0.016218602952177075
56,text_subject_body_clean,comp.sys.mac.hardware,12,problem,0.01524320099926296
57,text_subject_body_clean,comp.sys.mac.hardware,13,new,0.015148179925522212
58,text_subject_body_clean,comp.sys.mac.hardware,14,se,0.015025605530039815
59,text_subject_body_clean,comp.sys.mac.hardware,15,writes,0.014542116286317044
60,text_subject_body_clean,comp.windows.x,1,window,0.041129555764763244
61,text_subject_body_clean,comp.windows.x,2,motif,0.029952640728480386
62,text_subject_body_clean,comp.windows.x,3,server,0.0251343955741777
63,text_subject_body_clean,comp.windows.x,4,xterm,0.02129303757325291
64,text_subject_body_clean,comp.windows.x,5,x11r5,0.020953480100861347
65,text_subject_body_clean,comp.windows.x,6,widget,0.01874079447912211
66,text_subject_body_clean,comp.windows.x,7,application,0.018476667617502024
67,text_subject_body_clean,comp.windows.x,8,thanks,0.017595211484692168
68,text_subject_body_clean,comp.windows.x,9,display,0.01645363040333353
69,text_subject_body_clean,comp.windows.x,10,sun,0.015303915579152387
70,text_subject_body_clean,comp.windows.x,11,problem,0.014893563808424805
71,text_subject_body_clean,comp.windows.x,12,using,0.014726204026429976
72,text_subject_body_clean,comp.windows.x,13,file,0.014320430624697938
73,text_subject_body_clean,comp.windows.x,14,program,0.014056977258219647
74,text_subject_body_clean,comp.windows.x,15,running,0.013599504013868035
75,text_subject_body_clean,sci.crypt,1,clipper,0.050089310794675754
76,text_subject_body_clean,sci.crypt,2,key,0.04583336122408895
77,text_subject_body_clean,sci.crypt,3,encryption,0.04032148056532201
78,text_subject_body_clean,sci.crypt,4,chip,0.03814058635900525
79,text_subject_body_clean,sci.crypt,5,government,0.034768006101104906
80,text_subject_body_clean,sci.crypt,6,keys,0.02526234726822127
81,text_subject_body_clean,sci.crypt,7,writes,0.024903135108803
82,text_subject_body_clean,sci.crypt,8,clipper chip,0.023619531322115007
83,text_subject_body_clean,sci.crypt,9,people,0.023503471327211874
84,text_subject_body_clean,sci.crypt,10,nsa,0.022771687198691663
85,text_subject_body_clean,sci.crypt,11,article,0.02062421898530095
86,text_subject_body_clean,sci.crypt,12,crypto,0.0206239264473086
87,text_subject_body_clean,sci.crypt,13,security,0.020568265268924687
88,text_subject_body_clean,sci.crypt,14,des,0.02033815880587829
89,text_subject_body_clean,sci.crypt,15,algorithm,0.02031812471915798
90,text_subject_body_clean,sci.electronics,1,writes,0.018056880627799997
91,text_subject_body_clean,sci.electronics,2,power,0.016505824303443807
92,text_subject_body_clean,sci.electronics,3,circuit,0.016058226551310367
