lime_example_id,doc_id,true_label,baseline_pred,distilbert_pred,model_comparison_outcome,explained_label,token_or_phrase,lime_weight,weight_direction
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,synthesis,0.2024771584362814,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,radio,0.16523292672429102,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,in,0.13270460306649054,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,speech,-0.12426665491936169,opposes_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,voice,-0.12326256829661496,opposes_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,alltronics,0.12119552161607483,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,jose,0.09197878112628499,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,amounts,0.08488877785277767,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,store,0.06529484412190147,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,chips,0.05856102961981213,supports_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,sc,-0.057620537981810035,opposes_predicted_class
lime_example_01,doc_06125,sci.electronics,sci.electronics,sci.electronics,both_correct,sci.electronics,shack,0.056066990081167715,supports_predicted_class
lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct,comp.os.ms-windows.misc,windows,0.605563681923413,supports_predicted_class
lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct,comp.os.ms-windows.misc,icons,0.15838116827652202,supports_predicted_class
lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct,comp.os.ms-windows.misc,icofrite,-0.08164861828467665,opposes_predicted_class
lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct,comp.os.ms-windows.misc,program,-0.07571166480108156,opposes_predicted_class
lime_example_02,doc_05859,comp.os.ms-windows.misc,comp.os.ms-windows.misc,comp.os.ms-windows.misc,both_correct,comp.os.ms-windows.misc,away,-0.045942234548853385,opposes_predicted_class
